"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Damonte","Counter Logic Gaming","Middle",9,"22%","33%",18,23,25,1.9,"56.6%","23.7%","19.3%","22%",-99,-46,-5.2,8.8,"25.9%",259,"17.1%",,258,"24.8%",,0.43,0.23
"Danny","Evil Geniuses","ADC",27,"67%","48%",111,56,137,4.4,"62.6%","28.0%","16.8%","19%",-123,-112,-9.9,9.1,"30.4%",556,"27.5%",,307,"25.9%",,0.63,0.42
"Dardoch","Dignitas","Jungle",7,"43%","57%",28,21,51,3.8,"85.9%","30.4%","25.0%","57%",333,22,-2.7,6.1,"18.6%",383,"21.4%",,221,"20.9%",,0.35,0.35
"Destiny","Immortals","Support",27,"48%","44%",14,63,247,4.1,"75.9%","4.1%","18.5%","22%",-74,26,-1.7,1.1,"2.4%",130,"6.9%",,92,"8.3%",,1.68,0.37
"Diamond","FlyQuest","Support",13,"38%","54%",14,52,96,2.1,"67.5%","8.6%","25.9%","38%",-5,-11,0.8,1.1,"2.9%",129,"7.4%",,93,"8.6%",,1.5,0.38
"Dreams","FlyQuest","Support",14,"21%","43%",9,49,67,1.6,"65.0%","7.7%","22.3%","21%",-97,-267,-11.6,1.2,"2.9%",112,"6.6%",,87,"9.0%",,1.24,0.24
"FakeGod","Dignitas","Top",27,"44%","41%",54,65,143,3,"55.3%","15.2%","18.8%","30%",-57,-121,-5.1,7.4,"22.9%",400,"22.4%",,231,"21.4%",,0.53,0.21
"FBI","100 Thieves","ADC",26,"69%","50%",78,51,159,4.6,"68.9%","22.7%","19.6%","31%",83,-44,0.8,8.5,"27.0%",534,"28.1%",,284,"24.3%",,0.49,0.3
"Finn","Counter Logic Gaming","Top",27,"26%","63%",59,86,108,1.9,"62.8%","22.2%","22.6%","19%",-135,-29,-3.5,7.6,"24.5%",459,"27.1%",,235,"22.7%",,0.48,0.16
"Fudge","Cloud9","Top",27,"56%","26%",99,46,154,5.5,"63.1%","24.7%","15.6%","33%",10,-41,-2.9,8.3,"25.2%",443,"22.2%",,272,"23.0%",,0.45,0.17
"huhi","100 Thieves","Support",26,"69%","46%",20,51,205,4.4,"65.4%","5.8%","19.6%","38%",155,332,6.2,1.8,"4.9%",157,"7.9%",,119,"10.1%",,1.45,0.47
"Huni","TSM","Top",27,"67%","56%",72,90,139,2.3,"64.5%","22.0%","29.7%","30%",142,57,3.1,8.1,"25.4%",468,"24.6%",,263,"23.3%",,0.46,0.17
"Iconic","Golden Guardians","Jungle",27,"41%","52%",63,82,181,3,"69.1%","17.8%","19.0%","22%",-115,39,2,6.2,"18.4%",379,"19.4%",,215,"19.9%",,0.28,0.32
"IgNar","Evil Geniuses","Support",27,"67%","56%",22,55,235,4.7,"64.9%","5.6%","16.5%","15%",143,218,5.5,1.4,"3.5%",138,"6.6%",,105,"8.9%",,1.62,0.33
"Impact","Evil Geniuses","Top",27,"67%","48%",85,79,176,3.3,"65.9%","21.5%","23.7%","30%",254,202,5.6,7.1,"20.4%",444,"22.2%",,243,"20.7%",,0.45,0.19
"Insanity","Immortals","Middle",26,"50%","42%",83,64,145,3.6,"67.9%","24.7%","19.8%","8%",-59,31,-1.3,8.1,"23.9%",440,"23.3%",,255,"22.8%",,0.55,0.17
"Jenkins","Team Liquid","Top",15,"60%","60%",39,42,85,3,"58.5%","18.4%","25.8%","33%",-17,-59,-0.2,7.6,"22.9%",506,"23.1%",,250,"20.9%",,0.54,0.18
"Jensen","Team Liquid","Middle",27,"56%","41%",97,54,140,4.4,"65.8%","26.9%","17.2%","15%",61,86,4.3,9,"27.4%",463,"22.7%",,284,"24.8%",,0.38,0.18
"Jiizuke","Evil Geniuses","Middle",27,"67%","48%",102,69,145,3.6,"62.4%","25.8%","20.7%","19%",304,-33,3.3,9,"28.3%",518,"25.8%",,306,"25.9%",,0.49,0.2
"Johnsun","FlyQuest","ADC",14,"21%","57%",25,34,31,1.6,"47.9%","21.4%","15.5%","21%",148,172,14,8.7,"29.7%",519,"31.0%",,251,"25.3%",,0.77,0.38
"Josedeodo","FlyQuest","Jungle",18,"22%","61%",43,51,85,2.5,"73.6%","24.7%","18.3%","28%",-81,-68,-2,6.1,"18.6%",313,"17.1%",,200,"20.2%",,0.5,0.42
"k1ng","Cloud9","ADC",9,"44%","56%",29,12,41,5.8,"61.9%","25.7%","10.8%","0%",-151,-18,-0.7,8.4,"27.5%",520,"27.1%",,268,"23.9%",,0.41,0.28
"Kenvi","100 Thieves","Jungle",1,"0%","100%",2,2,8,5,"100.0%","20.0%","12.5%","0%",-231,-503,-11,4.5,"10.7%",523,"17.4%",,161,"16.0%",,0.57,0.33
"Kumo","FlyQuest","Top",13,"38%","38%",31,45,52,1.8,"50.9%","19.0%","22.4%","8%",-314,-385,-4.8,7.5,"25.4%",357,"19.6%",,235,"22.3%",,0.49,0.16
"Licorice","Golden Guardians","Top",12,"50%","50%",50,37,66,3.1,"64.8%","27.9%","21.5%","25%",-103,-85,-1.6,7.7,"24.7%",469,"24.0%",,260,"22.8%",,0.45,0.27
"Licorice","FlyQuest","Top",14,"21%","57%",26,55,38,1.2,"54.7%","22.2%","25.0%","7%",-32,-37,1.1,7.6,"25.8%",380,"22.3%",,222,"22.7%",,0.45,0.21
"Lost","TSM","ADC",27,"67%","48%",77,46,129,4.5,"63.0%","23.5%","15.2%","30%",-12,9,-4.6,8.1,"26.4%",431,"22.6%",,270,"23.9%",,0.53,0.29
"Luger","100 Thieves","ADC",1,"0%","100%",6,0,2,8,"80.0%","60.0%","0.0%","0%",-30,521,33,9,"29.9%",879,"29.2%",,306,"30.3%",,0.38,0.24
"Neo","Dignitas","ADC",27,"44%","44%",100,61,152,4.1,"70.8%","28.1%","17.7%","52%",69,-115,-7.4,8.7,"30.4%",529,"28.4%",,280,"25.9%",,0.52,0.33
"Nxi","FlyQuest","Jungle",9,"44%","44%",30,19,48,4.1,"73.6%","28.3%","13.4%","22%",-212,-275,-2.7,5.5,"16.1%",275,"16.1%",,212,"20.2%",,0.27,0.2
"Palafox","FlyQuest","Middle",18,"22%","44%",40,47,70,2.3,"63.2%","23.0%","16.8%","17%",-286,-139,-3.5,7.7,"23.6%",413,"22.9%",,226,"22.9%",,0.51,0.17
"Perkz","Cloud9","Middle",27,"56%","59%",96,71,165,3.7,"65.1%","23.9%","24.1%","30%",163,78,4.6,8.6,"24.6%",491,"24.9%",,279,"23.5%",,0.41,0.32
"Pobelter","Counter Logic Gaming","Middle",18,"28%","50%",40,60,88,2.1,"67.4%","21.1%","22.9%","22%",-49,-72,-3.7,8.4,"25.2%",422,"23.9%",,236,"23.1%",,0.42,0.22
"Poome","100 Thieves","Support",1,"0%","0%",0,4,9,2.3,"90.0%","0.0%","25.0%","0%",-161,-140,2,1.4,"3.7%",163,"5.4%",,75,"7.4%",,1.76,0.41
"PowerOfEvil","TSM","Middle",27,"67%","59%",68,49,162,4.7,"70.3%","20.8%","16.2%","15%",-133,-95,-1.8,8.4,"25.4%",516,"28.0%",,262,"23.1%",,0.47,0.22
"Pretty","Immortals","Middle",1,"0%","100%",0,4,4,1,"50.0%","0.0%","23.5%","0%",-235,192,2,8.3,"22.0%",437,"25.5%",,191,"20.8%",,0.38,0.16
"Raes","Immortals","ADC",27,"48%","56%",101,70,135,3.4,"68.6%","29.4%","20.5%","26%",-101,-101,1.1,9.5,"32.5%",507,"27.3%",,306,"27.7%",,0.56,0.33
"Revenge","Immortals","Top",27,"48%","67%",76,80,138,2.7,"62.2%","22.1%","23.5%","15%",-64,-29,-1.3,7.8,"25.2%",434,"23.3%",,248,"22.5%",,0.45,0.18
"ry0ma","100 Thieves","Middle",1,"0%","100%",0,3,7,2.3,"70.0%","0.0%","18.8%","0%",-542,-152,0,9.3,"32.4%",892,"29.7%",,252,"25.0%",,0.3,0.11
"Santorin","Team Liquid","Jungle",12,"58%","33%",37,33,88,3.8,"72.7%","21.5%","23.4%","33%",91,9,1.3,5.7,"14.7%",361,"15.8%",,201,"17.5%",,0.58,0.38
"Smoothie","Counter Logic Gaming","Support",27,"26%","52%",15,88,176,2.2,"71.8%","5.6%","23.1%","26%",-137,-158,-4.7,1,"2.6%",112,"6.8%",,81,"7.7%",,1.73,0.37
"Soligo","Dignitas","Middle",3,"67%","67%",9,3,14,7.7,"46.9%","18.4%","9.1%","33%",-649,-256,-15.7,6.7,"21.0%",449,"22.1%",,221,"19.7%",,0.45,0.19
"Solo","Golden Guardians","Top",15,"33%","47%",24,62,73,1.6,"55.7%","13.8%","23.8%","13%",-74,-13,1.3,7.6,"24.2%",429,"21.7%",,227,"21.5%",,0.48,0.25
"Spica","TSM","Jungle",27,"67%","33%",93,52,143,4.5,"72.2%","28.4%","17.2%","48%",52,-37,-1.1,6,"17.5%",355,"18.0%",,226,"20.1%",,0.34,0.38
"Ssumday","100 Thieves","Top",26,"69%","50%",69,58,125,3.3,"56.4%","20.1%","22.3%","27%",-29,129,0.2,8.1,"25.6%",455,"24.2%",,262,"22.4%",,0.46,0.25
"Stixxay","Golden Guardians","ADC",27,"41%","52%",94,65,142,3.6,"66.9%","26.6%","15.0%","19%",-74,69,2.7,9,"31.1%",498,"24.8%",,280,"25.4%",,0.38,0.37
"Svenskeren","Evil Geniuses","Jungle",23,"61%","43%",59,68,147,3,"62.2%","17.8%","22.9%","30%",124,83,1.1,5.8,"16.2%",349,"16.7%",,209,"18.0%",,0.35,0.4
"SwordArt","TSM","Support",27,"67%","67%",17,66,205,3.4,"67.9%","5.2%","21.8%","22%",19,-67,4.9,1.6,"5.4%",132,"6.8%",,110,"9.6%",,1.45,0.35
"Tactical","Team Liquid","ADC",27,"56%","41%",109,66,129,3.6,"66.1%","30.3%","21.0%","11%",139,119,4.6,9.6,"30.8%",632,"30.7%",,306,"26.7%",,0.47,0.34
"Tenacity","100 Thieves","Top",1,"0%","0%",2,7,4,0.9,"60.0%","20.0%","43.8%","0%",-511,-447,-5,7.3,"23.3%",550,"18.3%",,215,"21.3%",,0.38,0.11
"Tomo","FlyQuest","ADC",13,"38%","69%",34,41,76,2.7,"67.5%","20.9%","20.4%","38%",-112,12,-2.1,8.7,"28.9%",566,"30.7%",,260,"24.7%",,0.41,0.28
"Triple","FlyQuest","Middle",9,"44%","33%",28,28,51,2.8,"74.5%","26.4%","19.7%","0%",-137,105,6.2,8.4,"26.0%",465,"27.4%",,265,"24.5%",,0.38,0.19
"Vulcan","Cloud9","Support",27,"56%","41%",16,70,278,4.2,"73.3%","4.0%","23.7%","44%",47,68,1.6,1.2,"2.9%",151,"7.6%",,104,"8.9%",,1.66,0.29
"WildTurtle","Counter Logic Gaming","ADC",27,"26%","30%",71,62,115,3,"69.9%","26.7%","16.3%","11%",-43,59,2.3,9.6,"32.3%",466,"27.5%",,285,"27.6%",,0.62,0.31
"Xerxe","Immortals","Jungle",27,"48%","37%",70,60,186,4.3,"74.4%","20.3%","17.6%","30%",12,11,2.7,5.9,"16.0%",351,"19.1%",,205,"18.7%",,0.5,0.31
"Yusui","Dignitas","Middle",24,"42%","50%",87,65,86,2.7,"56.4%","28.3%","20.8%","13%",-196,-140,-6.3,8.1,"24.4%",393,"21.8%",,254,"23.4%",,0.43,0.2
"Zven","Cloud9","ADC",18,"61%","72%",71,24,117,7.8,"65.3%","24.7%","13.0%","39%",141,9,4.6,9.7,"29.7%",532,"26.3%",,303,"24.9%",,0.44,0.43
