"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","WCPM"
"Abbedagge","100 Thieves","Middle",26,"69%","69%",80,52,154,4.5,"68.0%","23.3%","20.0%","31%",105,123,-0.1,8.4,"24.4%",445,"23.3%",,266,"22.9%",,0.52,0.22
"Ablazeolive","Golden Guardians","Middle",27,"41%","41%",103,85,135,2.8,"67.4%","29.2%","19.7%","15%",139,88,2.8,7.9,"23.1%",515,"25.5%",,261,"23.8%",,0.44,0.27
"Akaadian","Dignitas","Jungle",20,"45%","70%",66,52,116,3.5,"68.9%","25.0%","19.9%","45%",115,92,-1.7,6.3,"19.7%",374,"19.8%",,232,"21.0%",,0.26,0.31
"Alphari","Team Liquid","Top",12,"50%","50%",29,26,71,3.8,"67.6%","19.6%","17.2%","25%",364,304,13.7,8.6,"26.4%",532,"27.8%",,275,"24.3%",,0.47,0.21
"aphromoo","Dignitas","Support",27,"44%","56%",12,78,231,3.1,"68.3%","3.4%","22.6%","44%",49,-16,-1.1,1.3,"3.2%",135,"7.2%",,97,"8.8%",,1.28,0.37
"Armao","Team Liquid","Jungle",15,"53%","60%",26,40,92,3,"62.8%","13.8%","23.1%","20%",-181,10,1.5,5.6,"14.5%",273,"13.8%",,192,"16.9%",,0.36,0.28
"Blaber","Cloud9","Jungle",27,"56%","59%",90,72,201,4,"72.6%","22.4%","24.4%","67%",97,201,3.9,6.5,"18.4%",365,"18.7%",,234,"20.0%",,0.36,0.33
"Broxah","Counter Logic Gaming","Jungle",27,"26%","63%",63,62,132,3.1,"73.3%","23.7%","16.3%","30%",-199,-244,-6.5,5.5,"15.1%",282,"17.0%",,189,"18.3%",,0.44,0.35
"Chime","Golden Guardians","Support",27,"41%","56%",19,101,235,2.5,"72.0%","5.4%","23.4%","19%",-256,-271,-4.1,1.1,"2.9%",153,"7.5%",,96,"8.8%",,1.46,0.42
"Closer","100 Thieves","Jungle",26,"69%","38%",97,48,151,5.2,"72.1%","28.2%","18.5%","35%",39,-30,0.2,6.4,"18.1%",319,"16.4%",,241,"20.3%",,0.38,0.3
"Contractz","Evil Geniuses","Jungle",4,"100%","50%",17,7,29,6.6,"70.8%","26.2%","18.9%","50%",207,407,7.3,7.3,"23.7%",517,"24.6%",,275,"21.9%",,0.22,0.39
"CoreJJ","Team Liquid","Support",27,"56%","37%",23,53,230,4.8,"70.3%","6.4%","16.9%","19%",118,29,-0.7,1.2,"2.9%",135,"6.7%",,103,"8.9%",,1.35,0.47
